discount rate 0,discount rate 1,discount rate 2,A.0_ID flood wave shape,A.1_Bmax,A.1_pfail,A.1_Brate,A.2_Bmax,A.2_pfail,A.2_Brate,A.3_Bmax,A.3_pfail,A.3_Brate,A.4_Bmax,A.4_pfail,A.4_Brate,A.5_Bmax,A.5_pfail,A.5_Brate,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,0,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,1,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,2,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,3,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,4,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,5,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,6,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,7,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,8,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,9,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,10,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,11,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,12,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,10,6,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,13,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,10,6,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,14,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,10,6,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,15,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,9,6,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,16,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,8,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,17,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,6,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,18,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,10,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,19,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,8,9,4,5,9,5,9,3,7,7,3,1,scenario 1,20,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,2,4,5,9,5,9,3,7,7,3,1,scenario 1,21,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,8,5,9,5,9,3,7,7,3,1,scenario 1,22,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,3,9,5,9,3,7,7,3,1,scenario 1,23,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,7,5,9,3,7,7,3,1,scenario 1,24,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,9,3,9,3,7,7,3,1,scenario 1,25,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,3,7,7,3,1,scenario 1,26,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,9,7,7,3,1,scenario 1,27,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,3,10,7,3,1,scenario 1,28,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,3,7,6,3,1,scenario 1,29,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,3,7,7,8,1,scenario 1,30,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,10,6,9,0,7,9,4,5,9,5,9,3,7,7,3,4,scenario 1,31,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,32,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,33,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,34,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,35,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,36,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,37,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,38,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,39,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,40,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,9,8,6,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,41,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,9,8,6,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,42,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,43,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,9,8,6,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,44,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,9,8,6,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,45,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,9,8,6,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,46,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,10,8,6,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,47,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,6,6,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,48,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,9,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,49,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,0,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,50,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,7,2,8,3,7,3,9,9,10,6,8,4,scenario 1,51,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,9,8,3,7,3,9,9,10,6,8,4,scenario 1,52,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,4,3,7,3,9,9,10,6,8,4,scenario 1,53,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,8,5,7,3,9,9,10,6,8,4,scenario 1,54,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,8,3,9,3,9,9,10,6,8,4,scenario 1,55,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,8,3,7,5,9,9,10,6,8,4,scenario 1,56,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,8,3,7,3,9,9,10,6,8,4,scenario 1,57,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,8,3,7,3,9,3,10,6,8,4,scenario 1,58,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,8,3,7,3,9,9,7,6,8,4,scenario 1,59,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,8,3,7,3,9,9,10,7,8,4,scenario 1,60,dikesnet
3,3,3,66,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,190.0,0.5,1.5,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,9,8,6,10,8,2,8,3,7,3,9,9,10,6,3,4,scenario 1,61,dikesnet
